Date;Time;Common Name;Scientific Name;Flying;Sitting;Vessel;Cruise;Observers
2009/10/03;08:20:00;Shearwater Wedge-tailed;Puffinus pacificus;1;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/04;10:50:00;Petrel Southern Giant;Macronectes giganteus;1;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/04;13:00:00;Petrel Great-winged;Pterodroma macroptera;1;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/04;13:50:00;Shearwater Sooty;Puffinus griseus;1;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/04;14:40:00;Shearwater Sooty;Puffinus griseus;2;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/04;15:30:00;Shearwater Sooty;Puffinus griseus;4;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/04;15:30:00;Storm-Petrel White-bellied;Fregetta grallaria;1;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/04;17:10:00;Shearwater Sooty;Puffinus griseus;2;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/05;09:10:00;Petrel Great-winged;Pterodroma macroptera;1;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/05;09:10:00;Shearwater Sooty;Puffinus griseus;2;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/05;09:10:00;Storm-Petrel White-bellied;Fregetta grallaria;1;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/05;10:50:00;Petrel Great-winged;Pterodroma macroptera;2;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/05;10:50:00;Shearwater Sooty;Puffinus griseus;1;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/05;15:30:00;Shearwater Sooty;Puffinus griseus;1;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/06;08:20:00;Shearwater Flesh-footed;Puffinus carneipes;0;1;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/06;08:20:00;Shearwater Wedge-tailed;Puffinus pacificus;2;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/06;13:50:00;Albatross Black-browed;Thalassarche melanophris;1;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/07;06:50:00;Shearwater Flesh-footed;Puffinus carneipes;2;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/07;06:50:00;Storm-Petrel White-bellied;Fregetta grallaria;1;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/07;13:00:00;Storm-Petrel White-bellied;Fregetta grallaria;1;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/07;15:30:00;Petrel Great-winged;Pterodroma macroptera;2;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/08;06:50:00;Albatross Black-browed;Thalassarche melanophris;1;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
2009/10/08;10:50:00;Shearwater Wedge-tailed;Puffinus pacificus;1;0;Algoa (RV);algoa_durban_2009_10_02;Peter Mather-Pike
